asset_id,original_path,source_filename,sha256,width,height,format,role,status,contains_personal_data,approved_for_public,notes
INV-001,media/originals/invite-001.jpeg,INVITE-1.jpeg,bec85bf23e912db368e260cd223cb86cf93c4c23ebe09500786653ec7758bdc5,1280,914,jpeg,reference_and_couple_photo,source_only,yes,no,"Composite invitation reference; visible phone numbers; no GPS/camera/date metadata detected"
INV-002,media/originals/invite-002.jpeg,102410.jpeg,6829fff759102575fb480c725d45b1ea9edeebde378503d08ad3a81952bb58ed,960,1280,jpeg,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-003,media/originals/invite-003.jpeg,113160.jpeg,e361dd15ad92a8cd44c7340b99e94ff7065bb110baa995a9a48ce68fe7946527,1600,1200,jpeg,gallery_seaside,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-004,media/originals/invite-004.jpg,20230129_214006.jpg,5720f343c95a094d05085585fae5f5d7750f59eacf0ccb1a7cf9f510fd75a70b,4000,3000,jpeg,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-005,media/originals/invite-005.jpg,42142cfb-0bf5-42a8-b462-d8af5dc0672c.jpg,40c07b4f3df3eb5cea819a1625d6672733e3cf4405116164d2c11b60cbc61953,1537,2048,jpeg,gallery_celebration,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-006,media/originals/invite-006.jpg,DSC05180.JPG,8d7a1afa4d2ceb67235b246ca999905887f49f743f0c788fd9bba0b7fd50626f,5332,3000,jpeg,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-007,media/originals/invite-007.jpg,IMG_20190313_205809.jpg,75028b7790f885f41dc587d6dcd1d6c22788a67046cc0aff5a03e8506ad13d42,3264,2448,jpeg,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-008,media/originals/invite-008.jpg,IMG_20200627_223059.jpg,810a3571d30240dc634e2eb15f12c0fd1c246ef04fac09b346ced7d26efd33c2,4618,3464,jpeg,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-009,media/originals/invite-009.jpg,IMG_20210211_225341_1.jpg,9920ae875f89094fa015f9185cf37bb7c9b8edbbb4832fc5aba4488cec73e487,2736,3648,jpeg,gallery_kiss,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-010,media/originals/invite-010.jpg,IMG_20211030_184411.jpg,d81f2b04a7362ee6d67b4cf0159c274f86f5ae28a5e1c790fae5355c719b1a47,3464,4618,jpeg,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-011,media/originals/invite-011.jpg,IMG_20211228_225516.jpg,a4da913685c13c82834179984ca7211c5cb886ccbd6b4b2e586df2f83ce28b15,3999,4000,jpeg,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-012,media/originals/invite-012.jpg,IMG_20220819_095220.jpg,2cec92f3dac20b41b9b3595b830b8db477655584c802a6a01ad8e5772f76a564,4618,3464,jpeg,gallery_road_trip,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-013,media/originals/invite-013.heic,IMG_2690.HEIC,94341be75e5591eaab24e91982f8689d48c31c69c8cdb836966b913bcc3c4bc5,4032,3024,heic,hero_mountain,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-014,media/originals/invite-014.heic,IMG_3511.HEIC,0f41b3c77b5a4bd7494ad09db61a9034480f4f6379b00c3df8f7f54fd00cfe26,4032,3024,heic,gallery_celebration,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-015,media/originals/invite-015.heic,IMG_4241.HEIC,669707ae9595770c35289f80544e7fe1d658d090bcf3db64e7b94ea0bf22a123,4032,3024,heic,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-016,media/originals/invite-016.heic,IMG_4921.HEIC,7d1b672e092baef5e1e456efdf02d03aafcc94724a9d610bc5dfe498d3fd36b8,3024,4032,heic,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-017,media/originals/invite-017.heic,IMG_5368.HEIC,604ca29fc07f7c398b4e26bf65ab540274ba326cdb21101cf194aa18c526b2ba,4032,2268,heic,couple_archive,source_approved,yes,no,"Approved for invitation derivative; original remains private"
INV-018,media/originals/invite-018.heic,IMG_5540.HEIC,87b0b4140c6cfda791c7133581796c3eddb656151aaffbf261aa34c87cd31386,4032,2268,heic,gallery_home,source_approved,yes,no,"Approved for invitation derivative; original remains private"
